Region,District,Constituency,Sub County,Parish,village
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,TYEN OPOK NORTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,TYEN OPOK SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,LOKETO TRADING CENTRE
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,TYEN OPOK TRADING CENTRE
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,BUTIWINY
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,GULOPONO SOUTH EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,LOTUKEI SEEDS
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,TYEN OLAM
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,ORINGO ADINGA
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,GULOPONO CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,GULOPONO EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,GULOPONO NORTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,GULOPONO NORTH EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ACHANGALI,GULOPONO SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,AMORUTU-ICAN
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,ARIDAI NORTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,AOJAPIRO
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,LOTUKE CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,LOTUKE EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,LOTUKE NORTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,LOTUKE SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,LOTUKE WEST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,ARIDAI SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,BARKOLAM
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,LOTUKEI MIXED
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,LOTUKEI TRADING CENTRE
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,MORU HILL
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ARIDAI,YARAYARA
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING NORTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING SOUTH EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,LOKA WARD
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,WATHAKAU
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING WEST
